                     .-,=-.-,=-.=.-,=--.=,-.=.-=,-.=-.=,-=.-=-,==.-.-..-=,-.
                     .-=,-.=,-.-=,-.=,.,-=-.=.-,=.-=,-.=.-=,-.-,=.--.=,=,=-.
                     .-=,-.-=,-.=-,=-.-,=.-.-,=-.=.-,=.-=.-,=.-,=.-.=,.-=,.-
                     .-=,-.=,--.=,-.=,-D ll  ll llLllL lllLA-=,=.-.=,-,=.-.=
                     .-,=-.-.=,-.=-,-.=D ll  Ll Ll lL  Lll A=,=,-.=.=,-.=-.=
                     -.=,-.-=,-.-=,-.-=D lL   L  l L    lL A-.-=.-=,.-=,-.=.
                     ,-.=-.=-,=.-=,-.=-D L       L      L  A.-,=.-.-=.-,=-.-
                     =.-=,-.=-==-.,-.=,D;;;;;;;;;;;;;;;;;;;A,.-=,.-,=-.-.=,-
                     -=.-,=-.-=,-.=,-.=d                   a,-.=,-.=,-=,.-=,
                     =.-=,-=.=-,=-.=-,-D                   a,-.=,-.=--.=,.-=
                     ,-.=.-,=.-=.-,=.-=d                   a,=.--.,=-.=,=-.-
                     .-,=.-=.-,=.-=.,-.d                   a.-,==.-.-..-=,-.
                     .-,=-.-,=-.=.-,=-.d                   a.-,==.-.-..-=,-.
                     .-=,-.=,-.-=,-.=,-D                   a-.-,=.--.=,=,=-.
                     .-=,-.-=,-.=-,=-.-D                   A=.-,=.-.=,.-=,.-
                     .-=,-.=,--.=,-.=,-D                   A.-,=.-.=,-,=.-.=
                     .-,=-.-.=,-.=-,-.=d                   a-.=,-.=.=,-.=-.=
                     -.=,-.-=,-.-=,-.-=d                   A,.-=.-=,.-=,-.=.
                     ,-.=-.=-,=.-=,-.=-D                   A.-,=.-.-=.-,=-.-
                     =.-=,-.=-==-.,-.=,D                   A,.-=,.-,=-.-.=,-
                     -=.-,=-.-=,-.=,-.=d                   a,-.=,-.=,-=,.-=,
                     =.-=,-=.=-,=-.=-,-D                   a,-.=,-.=--.=,.-=
                     ,-.=.-,=.-=.-,=.-=d                   A,=.--.,=-.=,=-.-
                     .-,=.-=.-,=.-=.,-.d                   a.-,==.-.-..-=,-.
                     .-,=-.-,=-.=.-,=-.d                   a.-,==.-.-..-=,-.
                     .-=,-.=,-.-=,-.=,-D                   a-.-,=.--.=,=,=-.
                     .-=,-.-=,-.=-,=-.-d                   A=.-,=.-.=,.-=,.-
                     .-=,-.=,--.=,-.=,-D                   A.-,=.-.=,-,=.-.=
                     .-,=-.-.=,-.=-,-.=d                   a-.=,-.=.=,-.=-.=
                     -.=,-.-=,-.-=,-.-=d                   A,.-=.-=,.-=,-.=.
                     ,-.=-.=-,=.-=,-.=-D                   A.-,=.-.-=.-,=-.-
                     =.-=,-.=-==-.,-.=,D                   A,.-=,.-,=-.-.=,-
                     -=.-,=-.-=,-.=,-.=d                   a,-.=,-.=,-=,.-=,
                     =.-=,-=.=-,=-.=-,-D                   a,-.=,-.=--.=,.-=
                     ,-.=.-,=.-=.-,=.-=d                   A,=.--.,=-.=,=-.-
                     .-,=.-=.-,=.-=.,-.d                   a.-,==.-.-..-=,-.
                     .-,=-.-,=-.=.-,=-.d                   a.-,==.-.-..-=,-.
                     .-=,-.=,-.-=,-.=,-D                   a-.-,=.--.=,=,=-.
                     .-=,-.-=,-.=-,=-.-d                   A=.-,=.-.=,.-=,.-
                     .-=,-.=,--.=,-.=,-D                   A.-,=.-.=,-,=.-.=
